Sheet_Def,Domain,Variable,Label,Type,Codes,Rule for derivation,deriv_info,deriv_info_null,deriv_info_len,Label_len,deriv_info_key_words
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC10,Hypertension Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Hypertension':  Copy soltrtoc_std. If result is missing and pcc09 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Hypertension':  Copy soltrtoc_std. If result is missing and pcc09 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,152,2,baseline visits periodcd anlfl missing. post baseline visit pccxx visitnum. visitnum periodcd cmbdiagx hypertension copy. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC12,Diabetes Mellitus Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,153,3,baseline visits periodcd anlfl missing. post baseline visit pccxx visitnum. visitnum periodcd cmbdiagx diabetes mellitus. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC14,Hypercholesterolaemia Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Hypercholesterolaemia':  Copy soltrtoc_std. If result is missing and pcc13 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Hypercholesterolaemia':  Copy soltrtoc_std. If result is missing and pcc13 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,167,2,missing visit periodcd missing visitnum. cmbdiagx hypercholesterolaemia copy soltrtoc_std result. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC16,Carcinoma Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Carcinoma':  Copy soltrtoc_std. If result is missing and pcc15 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Carcinoma':  Copy soltrtoc_std. If result is missing and pcc15 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,167,2,visitnum periodcd cmbdiagx carcinoma copy. visits periodcd anlfl missing visitnum. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC18,Urinary tract disorder Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Urinary tract disorder':  Copy soltrtoc_std. If result is missing and pcc17 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Urinary tract disorder':  Copy soltrtoc_std. If result is missing and pcc17 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,169,4,visits periodcd anlfl missing visitnum. post baseline visit pccxx visitnum. visitnum periodcd cmbdiagx urinary tract. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC20,Chronic obstructive pulmonary disease Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Chronic obstructive pulmonary disease': Copy soltrtoc_std. If result is missing and pcc19 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Chronic obstructive pulmonary disease': Copy soltrtoc_std. If result is missing and pcc19 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,170,5,visitnum periodcd cmbdiagx chronic obstructive. pulmonary disease copy soltrtoc_std result. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC22,Anxiety Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'anxiety':  Copy soltrtoc_std. If result is missing and pcc21 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'anxiety':  Copy soltrtoc_std. If result is missing and pcc21 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,167,2,visitnum periodcd cmbdiagx anxiety copy. visits periodcd anlfl missing visitnum. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC24,Insomnia Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'insomnia': Copy soltrtoc_std. If result is missing and pcc23 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'insomnia': Copy soltrtoc_std. If result is missing and pcc23 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,167,2,visits periodcd anlfl missing visitnum. visitnum periodcd cmbdiagx insomnia copy. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC26,Pain Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'pain':  Copy soltrtoc_std. If result is missing and pcc25 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'pain':  Copy soltrtoc_std. If result is missing and pcc25 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,167,2,visit periodcd pccxx post baseline. visits periodcd anlfl missing visitnum. post baseline visit pccxx visitnum. 
Patient Comorbidities per visit and over study,ADCCP,ADCCP_PCC28,Alcohol dependence syndrome Medication,Num,"1, 0","visitnum 1-4, periodcd = 1:
cmbdiagx = 'Alcohol dependence syndrome':  Copy soltrtoc_std. If result is missing and pcc27 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.","1, 0; visitnum 1-4, periodcd = 1:
cmbdiagx = 'Alcohol dependence syndrome':  Copy soltrtoc_std. If result is missing and pcc27 = 0 then 0;
cmbdiagx = 'Diabetes Mellitus':  Copy soltrtoc_std. If result is missing and pcc11 = 0 then 0;

visitnum 2-4, periodcd = 2:
If PCCxx = 0 at visitnum = 1 and PCCxx = 1 for periodcd = 1 at this visit or any previous post baseline visit then 1; 
Else if PCCxx = 1 at visitnum = 1 or PCCxx = 0 at this visit for periodcd = 1 then 0; 
Else if PCCxx is missing for this visit and periodcd = 1 then missing.

visitnum = 99, periodcd = 1:
If PCCxx = 1 for any post baseline visit with periodcd = 1 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 1 and anlfl = 'Y' then 0;
Else missing.

visitnum = 99, periodcd = 2:
If PCCxx = 1 for any post baseline visit with periodcd = 2 then 1;
Else if PCCxx = 0 for all post baseline visits with periodcd = 2 and anlfl = 'Y' then 0;
Else missing.",False,169,4,anlfl missing visitnum 99 periodcd. post baseline visit pccxx visitnum. visitnum periodcd cmbdiagx alcohol dependence. 
Cost data per visit,ADCOST,ADCOST_CURRENCY,Currency,Character,JPY USD,"Two records per patient and visit are generated, one for currency = JPY and one for currency = USD.
After all calculations have been done in Yen (JPY) a second record is generated and all amounts are converted to USD. The exchange rate used is stored in macro variable &JPY_USD which is created in the AUTOEXEC.SAS file. ","JPY USD; Two records per patient and visit are generated, one for currency = JPY and one for currency = USD.
After all calculations have been done in Yen (JPY) a second record is generated and all amounts are converted to USD. The exchange rate used is stored in macro variable &JPY_USD which is created in the AUTOEXEC.SAS file. ",False,59,1,yen jpy second record generated. exchange rate used stored macro. jpy_usd created autoexec sas file. 
Cost data per visit,ADCOST,ADCOST_COST_ADT,Patient Direct Medical Cost per Month: AD Medications for Patient,Numeric,,"Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If AD medication started before visit date (adtstdt < vsdt) and (is ongoing at visit (adtongo = 'Y') or ended after previous visit (adtendt > _prev_vsdt)) then calculate the _ndays_, the number of days the medication was taken, as MIN(vsdt, adtendt) - MAX(adtstdt, _prev_vsdt).
Use CSV file input\cost2.csv to get the cost per day per AD treatment. Use the information stored in column D (Cost per unit Y 2017). For the cost of ""other AD treatment"" and ""other treatment"" take the average of the first 4 rows (so exclude Yokukansan from average, see issuelog #26) and merge these values to the AD information per patient. The monthly cost per AD medication per patient is calculated as the (_ndays_ * cost for the AD treatment * 30) / _period. The total cost for AD medication per patient and visit (cost_adt) is calculated by summing the cost of all separate AD cost per patient and visit for all adtterm except ""Yokukansan (Chinese herbal medicine)"" and ""Other"".
If patient has at least one record in DATA.ADTR (either ADTTRYN = Y or N) and no AD cost is found using above calculation then set to 0.
","Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If AD medication started before visit date (adtstdt < vsdt) and (is ongoing at visit (adtongo = 'Y') or ended after previous visit (adtendt > _prev_vsdt)) then calculate the _ndays_, the number of days the medication was taken, as MIN(vsdt, adtendt) - MAX(adtstdt, _prev_vsdt).
Use CSV file input\cost2.csv to get the cost per day per AD treatment. Use the information stored in column D (Cost per unit Y 2017). For the cost of ""other AD treatment"" and ""other treatment"" take the average of the first 4 rows (so exclude Yokukansan from average, see issuelog #26) and merge these values to the AD information per patient. The monthly cost per AD medication per patient is calculated as the (_ndays_ * cost for the AD treatment * 30) / _period. The total cost for AD medication per patient and visit (cost_adt) is calculated by summing the cost of all separate AD cost per patient and visit for all adtterm except ""Yokukansan (Chinese herbal medicine)"" and ""Other"".
If patient has at least one record in DATA.ADTR (either ADTTRYN = Y or N) and no AD cost is found using above calculation then set to 0.
",False,216,10,calculate _ndays_ number days medication. previous visit calculate temporary variable. calculated summing cost separate ad. 
Cost data per visit,ADCOST,ADCOST_COST_PHT,Patient Direct Medical Cost per Month: Psychotic/hypnotic Medications for Patient,Numeric,,"Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If Psychiatric/hypnotic medication started before visit date (phtstdt < vsdt) and (is ongoing at visit (phtongo = 'Y') or ended after previous visit (phtendt > _prev_vsdt)) then calculate the _ndays_, the number of days the medication was taken, as MIN(vsdt, phtendt) - MAX(phtstdt, _prev_vsdt).
Use CSV file input\cost3.csv to get the cost per day per Psychiatric/hypnotic treatment. Use the information stored in column H (Average cost of 3 medicines Y)). For the cost of ""other Psychiatric/hypnotic medication  take the average of all other Psychiatric/hypnotic medications and merge these values to the Psychiatric/hypnotic medication information per patient. The monthly cost per Psychiatric/hypnotic medication per patient is calculated as the (_ndays_ * cost for the Psychiatric/hypnotic treatment * 30) / _period. The total cost for Psychiatric/hypnotic medication per patient and visit (cost_pht) is calculated by summing the cost of all separate Psychiatric/hypnotic medication cost per patient and visit.","Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If Psychiatric/hypnotic medication started before visit date (phtstdt < vsdt) and (is ongoing at visit (phtongo = 'Y') or ended after previous visit (phtendt > _prev_vsdt)) then calculate the _ndays_, the number of days the medication was taken, as MIN(vsdt, phtendt) - MAX(phtstdt, _prev_vsdt).
Use CSV file input\cost3.csv to get the cost per day per Psychiatric/hypnotic treatment. Use the information stored in column H (Average cost of 3 medicines Y)). For the cost of ""other Psychiatric/hypnotic medication  take the average of all other Psychiatric/hypnotic medications and merge these values to the Psychiatric/hypnotic medication information per patient. The monthly cost per Psychiatric/hypnotic medication per patient is calculated as the (_ndays_ * cost for the Psychiatric/hypnotic treatment * 30) / _period. The total cost for Psychiatric/hypnotic medication per patient and visit (cost_pht) is calculated by summing the cost of all separate Psychiatric/hypnotic medication cost per patient and visit.",False,179,11,patient visit cost_pht calculated summing. medicines cost psychiatric hypnotic medication. csv cost day psychiatric hypnotic. 
Cost data per visit,ADCOST,ADCOST_COST_CCP,Patient Direct Medical Cost per Month: Medications for Comorbidities for Patient,Numeric,,"Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If variable pcc## is 1 at baseline then medication is assumed to have taken for the comorbidity for 30 days before baseline, i.e. _ndays_ = 30.  
Use CSV file input\cost4.csv to get the cost per day per medication for comorbidity . Use the information stored in column H (Average cost of 3 medicines (￥)) and merge these values to the medication for comorbidity information per patient. The monthly cost per medication per patient is calculated as the (_ndays_ * cost for the medication for the comorbidity * 30) / _period. The total cost for medication for comorbidity per patient and visit (cost_ccp) is calculated by summing the cost of all separate comorbidity medications cost per patient and visit.","Calculate temporary variable _prev_vsdt: If visitnum = 1 then vsdt - 30; else vsdt from previous visit.
Calculate temporary variable _period as: vsdt - prev_vsdt.
If variable pcc## is 1 at baseline then medication is assumed to have taken for the comorbidity for 30 days before baseline, i.e. _ndays_ = 30.  
Use CSV file input\cost4.csv to get the cost per day per medication for comorbidity . Use the information stored in column H (Average cost of 3 medicines (￥)) and merge these values to the medication for comorbidity information per patient. The monthly cost per medication per patient is calculated as the (_ndays_ * cost for the medication for the comorbidity * 30) / _period. The total cost for medication for comorbidity per patient and visit (cost_ccp) is calculated by summing the cost of all separate comorbidity medications cost per patient and visit.",False,141,11,cost4 csv cost day medication. calculate temporary variable _period vsdt. summing cost separate comorbidity medications. 
